categoria,nombre,precio,descripcion,disponible
DESAYUNOS (9 a 12),PAN CON CHICHARRÓN,6.00,,si
DESAYUNOS (9 a 12),PAN CON POLLO,6.00,,si
DESAYUNOS (9 a 12),LOMO AL JUGO,8.00,,si
DESAYUNOS (9 a 12),TAMAL,7.00,,si
DESAYUNOS (9 a 12),CALDO DE GALLINA,12.90,,si
DESAYUNOS (9 a 12),CALDO DE MOTE,12.90,,si
PLATOS PRINCIPALES,LOMO SALTADO,18.90,,si
PLATOS PRINCIPALES,TALLARÍN SALTADO,17.90,,si
PLATOS PRINCIPALES,AJÍ DE GALLINA,16.90,,si
PLATOS PRINCIPALES,ARROZ CON PATO,18.90,,si
PLATOS PRINCIPALES,CHAUFA DE POLLO,14.90,,si
PLATOS PRINCIPALES,CHAUFA DE CARNE,16.90,,si
PLATOS PRINCIPALES,CHAUFA DE MARISCOS,22.90,,si
PLATOS PRINCIPALES,CHAUFA MIXTO,17.90,,si
PLATOS PRINCIPALES,TALLARINES VERDES,15.90,,si
PLATOS PRINCIPALES,FETTUCCINI CON LOMO SALTADO,19.90,,si
PLATOS PRINCIPALES,ANTICUCHO,14.90,,si
PLATOS PRINCIPALES,ANTICUCHO CON RACHI,16.90,,si
PLATOS PRINCIPALES,CALDO DE GALLINA,12.90,,si
PLATOS PRINCIPALES,CALDO DE MOTE,12.90,,si
COMBOS,TRIO MARINO,24.90,"Ceviche, arroz con marisco y chicharrón",si
COMBOS,TRIO CRIOLLO,21.90,"Tallarín, chanfainita, papa a la huancaína y ceviche",si
ENTRADAS,PAPA A LA HUANCAÍNA,9.90,,si
ENTRADAS,PAPA RELLENA,10.90,,si
ENTRADAS,CAUSA LIMEÑA,11.90,,si
ENTRADAS,YUCA FRITA CON HUANCAÍNA,9.90,,si
ENTRADAS,CAUSA ACEVICHADA,15.90,,si
ENTRADAS,LECHE DE TIGRE,13.90,,si
ENTRADAS,ALITAS ACEVICHADAS,11.90,,si
ENTRADAS,TAMAL,7.00,,si
POSTRES,TARTA CHOCOLATE,5.00,,si
POSTRES,TARTA TRES LECHES,5.00,,si
POSTRES,MAZAMORRA,4.00,,si
POSTRES,GELATINA,3.00,,si
RACIONES,PATATAS FRITAS,5.00,,si
RACIONES,ARROZ BLANCO,4.00,,si
RACIONES,ALITAS FRITAS,8.00,,si
BEBIDAS,COCA COLA,3.50,,si
BEBIDAS,FANTA NARANJA,3.50,,si
BEBIDAS,AQUARIUS,3.50,,si
BEBIDAS,NESTIÉ,3.50,,si
BEBIDAS,AGUA,2.00,,si
BEBIDAS,INCA KOLA,3.50,,si
BEBIDAS,CHICHA MORADA,3.50,,si
BEBIDAS,ZUMO MELOCOTÓN,2.50,,si
BEBIDAS,ZUMO PIÑA,2.50,,si
LICORES,CORONA,3.50,,si
LICORES,HEINEKEN,3.50,,si
LICORES,CUSQUEÑA,4.00,,si
LICORES,PILSEN,4.00,,si
LICORES,PISCO SOUR CLÁSICO,8.00,,si
LICORES,PISCO SOUR MARACUYÁ,8.00,,si
LICORES,CERVEZA GRIFO,3.50,,si
